h3_08,municipio,operator,variable,median
884995818bfffff,Xochimilco,Telcel,m_download_mbps,14.7725
884995818dfffff,Tláhuac,ALTAN Redes,m_download_mbps,22.056
884995818dfffff,Tláhuac,AT&T,m_download_mbps,56.453
884995818dfffff,Tláhuac,Movistar,m_download_mbps,67.647
884995818dfffff,Tláhuac,Telcel,m_download_mbps,32.2395
8849958191fffff,Tláhuac,ALTAN Redes,m_download_mbps,1.0615
8849958191fffff,Tláhuac,Movistar,m_download_mbps,1.558
8849958191fffff,Tláhuac,Telcel,m_download_mbps,21.067999999999998
8849958195fffff,Tláhuac,ALTAN Redes,m_download_mbps,7.365
8849958195fffff,Tláhuac,AT&T,m_download_mbps,15.685500000000001
8849958195fffff,Tláhuac,Movistar,m_download_mbps,16.2605
8849958195fffff,Tláhuac,Telcel,m_download_mbps,57.484
8849958197fffff,Tláhuac,ALTAN Redes,m_download_mbps,4.373
8849958197fffff,Tláhuac,AT&T,m_download_mbps,53.8755
8849958197fffff,Tláhuac,Movistar,m_download_mbps,18.5425
8849958197fffff,Tláhuac,Telcel,m_download_mbps,71.82300000000001
8849958199fffff,Tláhuac,ALTAN Redes,m_download_mbps,0.883
8849958199fffff,Xochimilco,ALTAN Redes,m_download_mbps,2.1905
8849958199fffff,Xochimilco,AT&T,m_download_mbps,12.154
8849958199fffff,Xochimilco,Movistar,m_download_mbps,5.037
8849958199fffff,Xochimilco,Telcel,m_download_mbps,32.8095
884995819bfffff,Tláhuac,ALTAN Redes,m_download_mbps,1.2245
884995819bfffff,Tláhuac,AT&T,m_download_mbps,7.486
884995819bfffff,Tláhuac,Telcel,m_download_mbps,23.162
884995819bfffff,Xochimilco,AT&T,m_download_mbps,23.911
884995819bfffff,Xochimilco,Telcel,m_download_mbps,29.9285
884995819dfffff,Tláhuac,ALTAN Redes,m_download_mbps,2.7155
884995819dfffff,Tláhuac,AT&T,m_download_mbps,5.63
884995819dfffff,Tláhuac,Movistar,m_download_mbps,30.314
884995819dfffff,Tláhuac,Telcel,m_download_mbps,32.526
884995819dfffff,Xochimilco,ALTAN Redes,m_download_mbps,3.8280000000000003
884995819dfffff,Xochimilco,AT&T,m_download_mbps,1.0685
884995819dfffff,Xochimilco,Movistar,m_download_mbps,5.446
884995819dfffff,Xochimilco,Telcel,m_download_mbps,27.192
88499581a1fffff,Tláhuac,ALTAN Redes,m_download_mbps,1.7885
88499581abfffff,Tláhuac,ALTAN Redes,m_download_mbps,1.827
88499581abfffff,Tláhuac,AT&T,m_download_mbps,38.156
88499581abfffff,Tláhuac,Telcel,m_download_mbps,26.458
88499581b1fffff,Tláhuac,ALTAN Redes,m_download_mbps,16.355
88499581b1fffff,Tláhuac,AT&T,m_download_mbps,27.7305
88499581b1fffff,Tláhuac,Movistar,m_download_mbps,0.591
88499581b1fffff,Tláhuac,Telcel,m_download_mbps,16.004
88499581b3fffff,Tláhuac,ALTAN Redes,m_download_mbps,15.206
88499581b3fffff,Tláhuac,AT&T,m_download_mbps,12.463000000000001
88499581b3fffff,Tláhuac,Movistar,m_download_mbps,6.705500000000001
88499581b3fffff,Tláhuac,Telcel,m_download_mbps,20.4135
88499581b7fffff,Tláhuac,ALTAN Redes,m_download_mbps,18.902
88499581b7fffff,Tláhuac,AT&T,m_download_mbps,45.258
88499581b7fffff,Tláhuac,Movistar,m_download_mbps,10.1895
88499581b9fffff,Tláhuac,ALTAN Redes,m_download_mbps,12.64
88499581b9fffff,Tláhuac,AT&T,m_download_mbps,9.25
88499581b9fffff,Tláhuac,Movistar,m_download_mbps,3.306
88499581b9fffff,Tláhuac,Telcel,m_download_mbps,25.274500000000003
88499581bbfffff,Tláhuac,ALTAN Redes,m_download_mbps,11.028
88499581bbfffff,Tláhuac,AT&T,m_download_mbps,36.0565
88499581bbfffff,Tláhuac,Movistar,m_download_mbps,31.923
88499581bbfffff,Tláhuac,Telcel,m_download_mbps,34.784
88499581bdfffff,Tláhuac,ALTAN Redes,m_download_mbps,0.635
88499581c1fffff,Milpa Alta,ALTAN Redes,m_download_mbps,6.617
88499581c1fffff,Milpa Alta,AT&T,m_download_mbps,29.282500000000002
88499581c1fffff,Milpa Alta,Movistar,m_download_mbps,40.249
88499581c1fffff,Milpa Alta,Telcel,m_download_mbps,20.181
88499581c1fffff,Tláhuac,ALTAN Redes,m_download_mbps,2.145
88499581c1fffff,Tláhuac,Movistar,m_download_mbps,12.425
88499581c1fffff,Tláhuac,Telcel,m_download_mbps,13.1
88499581c3fffff,Tláhuac,ALTAN Redes,m_download_mbps,2.627
88499581c3fffff,Tláhuac,AT&T,m_download_mbps,41.8785
88499581c3fffff,Tláhuac,Movistar,m_download_mbps,12.07
88499581c3fffff,Tláhuac,Telcel,m_download_mbps,26.472
88499581c5fffff,Milpa Alta,ALTAN Redes,m_download_mbps,13.806
88499581c5fffff,Milpa Alta,AT&T,m_download_mbps,2.972
88499581c5fffff,Milpa Alta,Movistar,m_download_mbps,84.888
88499581c5fffff,Milpa Alta,Telcel,m_download_mbps,50.596
88499581c5fffff,Tláhuac,ALTAN Redes,m_download_mbps,24.809
88499581c5fffff,Tláhuac,AT&T,m_download_mbps,28.0315
88499581c5fffff,Tláhuac,Movistar,m_download_mbps,4.558
88499581c5fffff,Tláhuac,Telcel,m_download_mbps,34.355
88499581c7fffff,Tláhuac,ALTAN Redes,m_download_mbps,16.838
88499581c7fffff,Tláhuac,AT&T,m_download_mbps,40.068
88499581c7fffff,Tláhuac,Movistar,m_download_mbps,25.146
88499581c7fffff,Tláhuac,Telcel,m_download_mbps,18.921
88499581c9fffff,Milpa Alta,ALTAN Redes,m_download_mbps,1.009
88499581c9fffff,Milpa Alta,AT&T,m_download_mbps,42.755
88499581c9fffff,Milpa Alta,Movistar,m_download_mbps,1.117
88499581c9fffff,Milpa Alta,Telcel,m_download_mbps,35.9525
88499581cbfffff,Tláhuac,ALTAN Redes,m_download_mbps,3.216
